Fecha;ID;NOME;CASOS;NIVEL
14-01-2021;34121515001;ABEGONDO; 15;Incidencia acumulada para o concello: >250
14-01-2021;34121515002;AMES; 140;Incidencia acumulada para o concello: >250
14-01-2021;34121515003;ARANGA;0;Incidencia acumulada para o concello: <=25
14-01-2021;34121515004;ARES; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
14-01-2021;34121515005;ARTEIXO; 305;Incidencia acumulada para o concello: >250
14-01-2021;34121515006;ARZUA; 45;Incidencia acumulada para o concello: >250
14-01-2021;34121515007;BAÑA (A); entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
14-01-2021;34121515008;BERGONDO; 11;Incidencia acumulada para o concello: >150 e <=250
14-01-2021;34121515009;BETANZOS; 35;Incidencia acumulada para o concello: >250
14-01-2021;34121515010;BOIMORTO; 10;Incidencia acumulada para o concello: >250
14-01-2021;34121515011;BOIRO; 68;Incidencia acumulada para o concello: >250
14-01-2021;34121515012;BOQUEIXON; 18;Incidencia acumulada para o concello: >250
14-01-2021;34121515013;BRION; 43;Incidencia acumulada para o concello: >250
14-01-2021;34121515014;CABANA DE BERGANTIÑOS; 16;Incidencia acumulada para o concello: >250
14-01-2021;34121515015;CABANAS; 29;Incidencia acumulada para o concello: >250
14-01-2021;34121515016;CAMARIÑAS; 95;Incidencia acumulada para o concello: >250
14-01-2021;34121515017;CAMBRE; 109;Incidencia acumulada para o concello: >250
14-01-2021;34121515018;CAPELA (A); entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
14-01-2021;34121515019;CARBALLO; 97;Incidencia acumulada para o concello: >250
14-01-2021;34121515020;CARNOTA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
14-01-2021;34121515021;CARRAL; 24;Incidencia acumulada para o concello: >250
14-01-2021;34121515022;CEDEIRA; 26;Incidencia acumulada para o concello: >250
14-01-2021;34121515023;CEE; 38;Incidencia acumulada para o concello: >250
14-01-2021;34121515024;CERCEDA; 44;Incidencia acumulada para o concello: >250
14-01-2021;34121515025;CERDIDO; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
14-01-2021;34121515027;COIROS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
14-01-2021;34121515028;CORCUBION; 10;Incidencia acumulada para o concello: >250
14-01-2021;34121515029;CORISTANCO; 35;Incidencia acumulada para o concello: >250
14-01-2021;34121515030;CORUÑA (A); 982;Incidencia acumulada para o concello: >250
14-01-2021;34121515031;CULLEREDO; 118;Incidencia acumulada para o concello: >250
14-01-2021;34121515032;CURTIS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
14-01-2021;34121515033;DODRO; 24;Incidencia acumulada para o concello: >250
14-01-2021;34121515034;DUMBRIA; 22;Incidencia acumulada para o concello: >250
14-01-2021;34121515035;FENE; 83;Incidencia acumulada para o concello: >250
14-01-2021;34121515036;FERROL; 230;Incidencia acumulada para o concello: >250
14-01-2021;34121515037;FISTERRA; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
14-01-2021;34121515038;FRADES; entre 1 e 9;Incidencia acumulada para o concello: >250
