Fecha;ID;NOME;CASOS_14_DIAS;NIVEL_14_DIAS;CASOS_7_DIAS;NIVEL_7_DIAS
05-03-2021;34121515001;ABEGONDO; entre 1 e 9;Incidencia acumulada para o concello: <=25; entre 1 e 9;Incidencia acumulada para o concello: >10 e <=25
05-03-2021;34121515002;AMES; 42;Incidencia acumulada para o concello: >50 e <=150; 18;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515003;ARANGA; entre 1 e 9;Incidencia acumulada para o concello: >250 e <=500;0;Incidencia acumulada para o concello: <=10
05-03-2021;34121515004;ARES; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515005;ARTEIXO; 93;Incidencia acumulada para o concello: >250 e <=500; 39;Incidencia acumulada para o concello: >75 e <=125
05-03-2021;34121515006;ARZUA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515007;BAÑA (A); entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50;0;Incidencia acumulada para o concello: <=10
05-03-2021;34121515008;BERGONDO; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50;0;Incidencia acumulada para o concello: <=10
05-03-2021;34121515009;BETANZOS; 15;Incidencia acumulada para o concello: >50 e <=150; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515010;BOIMORTO; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515011;BOIRO; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50; entre 1 e 9;Incidencia acumulada para o concello: >10 e <=25
05-03-2021;34121515012;BOQUEIXON;0;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
05-03-2021;34121515013;BRION; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515014;CABANA DE BERGANTIÑOS; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50; entre 1 e 9;Incidencia acumulada para o concello: >10 e <=25
05-03-2021;34121515015;CABANAS; entre 1 e 9;Incidencia acumulada para o concello: >250 e <=500; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515016;CAMARIÑAS; entre 1 e 9;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
05-03-2021;34121515017;CAMBRE; 23;Incidencia acumulada para o concello: >50 e <=150; 15;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515018;CAPELA (A);0;Incidencia acumulada para o concello: <=25;0;Incidencia acumulada para o concello: <=10
05-03-2021;34121515019;CARBALLO; 35;Incidencia acumulada para o concello: >50 e <=150; 11;Incidencia acumulada para o concello: >25 e <=75
05-03-2021;34121515020;CARNOTA; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50;0;Incidencia acumulada para o concello: <=10
05-03-2021;34121515021;CARRAL; 13;Incidencia acumulada para o concello: >150 e <=250; entre 1 e 9;Incidencia acumulada para o concello: >75 e <=125
05-03-2021;34121515022;CEDEIRA; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50;0;Incidencia acumulada para o concello: <=10
05-03-2021;34121515023;CEE; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50;0;Incidencia acumulada para o concello: <=10
